"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
50,56,434440,0,0,20170915,20190215,20220509,20220915,14480,7240,46494,1,37,0,0,54,24242,0,0,0,3,74,7,0,1,57
85,31,269140,0,1,20170915,20180921,20200204,20220915,35880,4485,30198,0,36,0,0,23,13991,0,0,0,5,53,8,0,1,34
96,48,276373,5,0,20150116,20150220,20181221,20200116,0,4606,19288,1,37,1,2,48,23596,0,0,2,3,5,9,0,1,48
97,34,332438,6,0,20160520,20160715,20190206,20210520,5540,5540,35792,1,69,1,2,33,16174,1,1,2,0,8,9,0,1,35
50,60,381657,1,0,20150821,20170120,20200715,20200821,0,6360,38350,1,48,1,2,60,28218,0,0,1,3,74,7,0,1,60
24,57,305783,0,0,20170915,20180720,20220602,20220915,0,5096,23427,1,57,0,0,57,24621,1,1,0,2,44,8,0,1,57
28,57,297820,0,0,20170915,20180817,20220502,20220915,4963,4963,23215,1,62,0,0,56,24621,0,1,0,4,48,8,0,0,58
58,49,296459,0,0,20150220,20160115,20190228,20200220,34580,4940,32115,0,39,0,0,42,23959,0,0,0,0,47,8,0,1,51
76,56,371395,0,0,20170915,20180720,20220602,20220915,6189,6189,28085,1,36,0,0,55,24242,0,0,0,3,44,9,0,1,57
50,56,347817,1,0,20160819,20161021,20210313,20210819,11592,5796,25923,1,24,1,2,54,25390,0,0,1,2,9,9,0,1,57
23,60,343109,5,0,20160923,20171020,20220517,20210923,11436,5718,33067,1,42,0,0,58,29765,0,0,2,3,56,8,0,1,62
76,56,401312,1,0,20171020,20180119,20220531,20221020,13376,6688,31946,1,52,1,2,54,24143,0,0,1,0,13,8,0,1,57
112,49,316979,0,0,20180420,20191115,20220506,20230420,5282,5282,34005,1,30,0,0,48,20954,1,0,0,4,82,5,0,1,50
97,26,217527,1,0,20180420,20180817,20200504,20230420,21750,3625,14079,0,24,1,2,20,11536,0,0,1,3,17,9,0,1,32
97,31,150630,0,0,20150821,20160923,20180222,20200821,22590,2510,10383,0,31,0,0,22,15367,0,0,0,3,57,9,0,1,40
110,60,383193,1,1,20170519,20171117,20220602,20220519,0,6386,42344,1,28,1,2,60,26549,0,0,1,3,26,8,1,1,60
76,60,513341,0,0,20160819,20171020,20210909,20210819,0,8555,37556,1,49,0,0,60,28326,1,0,0,3,61,8,0,1,60
97,43,785810,1,1,20160819,20180420,20200207,20210819,26192,13096,72330,1,36,0,0,41,19896,0,0,1,0,87,9,0,1,45
28,60,409162,0,0,20170217,20180316,20220531,20220217,13638,6819,39983,1,33,0,0,58,26374,0,0,0,3,56,8,1,1,61
58,47,577659,0,0,20150320,20160318,20190102,20200320,9627,9627,34226,1,43,0,0,46,22990,1,0,0,3,52,9,1,1,48
10,60,352153,0,0,20160819,20170721,20210722,20210819,11738,5869,31576,1,57,0,0,58,27524,1,1,0,2,48,7,0,1,62
50,59,343666,0,0,20161118,20171117,20220420,20211118,11454,5727,26766,1,44,0,0,57,29005,1,0,0,0,52,8,0,1,60
117,60,390390,0,0,20170217,20171117,20220103,20220217,0,6506,43285,1,27,0,0,60,26374,1,0,0,0,39,8,0,1,60
126,42,275247,1,1,20181116,20190621,20220602,20231116,9174,4587,19816,1,28,0,0,40,17669,0,0,1,2,31,9,0,1,44
18,41,269458,1,1,20181116,20190517,20220516,20231116,8980,4490,26305,1,25,1,2,39,17290,1,0,1,3,26,8,0,1,43
7,56,489588,0,0,20170915,20180720,20220412,20220915,8159,8159,49235,1,24,0,0,55,24242,0,0,0,2,44,9,1,1,57
37,48,590026,5,0,20170120,20180720,20201228,20220120,88497,9833,60711,0,36,0,0,39,21635,1,0,2,3,78,9,1,1,56
28,56,362199,0,0,20150320,20170317,20191023,20200320,0,6036,25112,1,52,0,0,56,26968,1,0,0,1,104,8,0,1,56
97,60,554985,0,0,20150320,20160219,20201029,20200320,9249,9249,40265,1,47,0,0,59,32110,0,0,0,3,48,7,0,1,61
0,57,411734,0,0,20151120,20170519,20200724,20201120,6862,6862,30852,1,41,0,0,56,26653,1,0,0,3,78,9,1,1,58
5,25,122834,1,1,20170915,20180316,20190801,20220915,10235,2047,10321,0,52,0,0,20,11387,1,0,1,0,26,8,0,1,27
1,60,285492,0,1,20160819,20170915,20211213,20210819,0,4758,26565,1,34,0,0,60,28993,0,0,0,4,56,7,1,1,60
62,59,291494,1,0,20170217,20180518,20220602,20220217,9716,4858,16592,1,50,0,0,57,27519,0,0,1,2,65,9,1,1,60
84,5,84350,6,0,20181116,20181116,20190305,20231116,11240,2000,6690,0,29,1,2,3,2223,1,0,2,2,0,5,0,1,9
105,58,705696,0,0,20170217,20171215,20211130,20220217,94088,11761,58590,0,30,0,0,50,25596,0,0,0,2,43,9,0,1,66
76,23,119111,6,0,20170915,20180817,20190606,20220915,19850,2000,9488,0,26,0,0,13,10504,0,0,2,2,48,8,0,1,31
23,56,358096,0,1,20170915,20180518,20220510,20220915,0,5968,31150,1,23,0,0,56,24242,0,0,0,0,35,9,0,1,56
97,59,334405,0,0,20160819,20170721,20210623,20210819,11146,5573,36054,1,61,0,0,57,26610,0,1,0,3,48,7,0,1,60
97,26,156318,0,1,20170915,20180518,20190911,20220915,20840,2605,12326,0,25,0,0,18,11828,1,0,0,5,35,8,0,1,28
5,16,285217,6,0,20160819,20160819,20171129,20210819,0,4753,23162,1,46,1,2,16,7802,0,0,2,3,0,9,0,1,16
9,57,327290,1,0,20170915,20180817,20220503,20220915,10908,5454,26556,1,27,1,2,55,24621,0,0,1,2,48,9,0,1,59
47,60,318447,0,0,20170421,20171215,20220511,20220421,5307,5307,28800,1,57,0,0,59,26170,1,1,0,0,34,9,0,1,61
50,58,282084,0,0,20160819,20170818,20210531,20210819,47010,4701,23852,0,36,0,0,48,26205,0,0,0,0,52,9,0,0,64
58,21,133079,5,1,20170421,20171117,20181221,20220421,13302,2217,10206,0,26,0,0,15,9773,0,0,2,2,30,9,0,1,27
44,56,367150,0,1,20170915,20180615,20220513,20220915,12238,6119,21712,1,33,0,0,54,24242,0,0,0,2,39,9,0,1,58
